--- ESD PLASMIC SIMULATION RESULTS ---
Global Status,PASS
Dielectric Breakdown Field [V/m],10000000.0
Eclipse Start Time [Hours],11.0
Eclipse Duration [Minutes],120.0
Substorm Start Time [Hours],11.5
Substorm Duration [Minutes],240.0

Time [Hours],Spacecraft Temperature [C],Surface Voltage [V],Internal Electric Field [V/m]
0.0,9.42647513390483,4.640355562124382,0.0
0.008333333333333333,9.42647513390483,4.640355562124382,2.1031674849342567e-35
0.016666666666666666,9.42647513390483,4.640355562124382,3.498294601636225e-35
0.025,9.42647513390483,4.640355562124382,4.537643423809476e-35
0.03333333333333333,9.42647513390483,4.640355562124382,5.416436422716585e-35
0.041666666666666664,9.42647513390483,4.640355562124382,6.244824232124685e-35
0.05,9.42647513390483,4.640355562124382,7.087105797565876e-35
0.058333333333333334,9.42647513390483,4.640355562124382,7.983129038813894e-35
0.06666666666666667,9.42647513390483,4.640355562124382,8.95999821323624e-35
0.075,9.42647513390483,4.640355562124382,1.0038511858292648e-34
0.08333333333333333,9.42647513390483,4.640355562124382,1.1236740057824227e-34
0.09166666666666666,9.42647513390483,4.640355562124382,1.2572053002589313e-34
0.1,9.42647513390483,4.640355562124382,1.4062315925557723e-34
0.10833333333333334,9.42647513390483,4.640355562124382,1.5726640706700853e-34
0.11666666666666667,9.42647513390483,4.640355562124382,1.7585907778124992e-34
0.125,9.42647513390483,4.640355562124382,1.9663175934706773e-34
0.13333333333333333,9.42647513390483,4.640355562124382,2.198404553719349e-34
0.14166666666666666,9.42647513390483,4.640355562124382,2.4577012392768065e-34
0.15,9.42647513390483,4.640355562124382,2.7473834432719958e-34
0.15833333333333333,9.42647513390483,4.640355562124382,3.0709925258289812e-34
0.16666666666666666,9.42647513390483,4.640355562124382,3.432478447406019e-34
0.175,9.42647513390483,4.640355562124382,3.836247272335555e-34
0.18333333333333332,9.42647513390483,4.640355562124382,4.2872138532308e-34
0.19166666666666668,9.42647513390483,4.640355562124382,4.790860394472519e-34
0.2,9.42647513390483,4.640355562124382,5.353301621257686e-34
0.20833333333333334,9.42647513390483,4.640355562124382,5.981357335036748e-34
0.21666666666666667,9.42647513390483,4.640355562124382,6.68263320905873e-34
0.225,9.42647513390483,4.640355562124382,7.465610765562369e-34
0.23333333333333334,9.42647513390483,4.640355562124382,8.339747577464134e-34
0.24166666666666667,9.42647513390483,4.640355562124382,9.315588852011634e-34
0.25,9.42647513390483,4.640355562124382,1.0404891682356112e-33
0.25833333333333336,9.42647513390483,4.640355562124382,1.1620763396379284e-33
0.26666666666666666,9.42647513390483,4.640355562124382,1.2977815591772765e-33
0.275,9.42647513390483,4.640355562124382,1.449233562395017e-33
0.2833333333333333,9.42647513390483,4.640355562124382,1.6182477510784965e-33
0.2916666666666667,9.42647513390483,4.640355562124382,1.8068474437545487e-33
0.3,9.42647513390483,4.640355562124382,2.0172875289134463e-33
0.30833333333333335,9.42647513390483,4.640355562124382,2.2520807907520697e-33
0.31666666666666665,9.42647513390483,4.640355562124382,2.5140272073021165e-33
0.325,9.42647513390483,4.640355562124382,2.8062465542169597e-33
0.3333333333333333,9.42647513390483,4.640355562124382,3.1322146845926065e-33
0.3416666666666667,9.42647513390483,4.640355562124382,3.495803896401993e-33
0.35,9.42647513390483,4.640355562124382,3.901327844875198e-33
0.35833333333333334,9.42647513390483,4.640355562124382,4.3535915079627584e-33
0.36666666666666664,9.42647513390483,4.640355562124382,4.857946769423911e-33
0.375,9.42647513390483,4.640355562124382,5.420354246704636e-33
0.38333333333333336,9.42647513390483,4.640355562124382,6.0474520602876304e-33
0.39166666666666666,9.42647513390483,4.640355562124382,6.74663231836477e-33
0.4,9.42647513390483,4.640355562124382,7.526126176333057e-33
0.4083333333333333,9.42647513390483,4.640355562124382,8.395098425680244e-33
0.4166666666666667,9.42647513390483,4.640355562124382,9.363752672326351e-33
0.425,9.42647513390483,4.640355562124382,1.0443448281562568e-32
0.43333333333333335,9.42647513390483,4.640355562124382,1.1646830396640096e-32
0.44166666666666665,9.42647513390483,4.640355562124382,1.298797448220263e-32
0.45,9.42647513390483,4.640355562124382,1.4482547003680551e-32
0.4583333333333333,9.42647513390483,4.640355562124382,1.6147984031175386e-32
0.4666666666666667,9.42647513390483,4.640355562124382,1.800368975317447e-32
0.475,9.42647513390483,4.640355562124382,2.0071257103737708e-32
0.48333333333333334,9.42647513390483,4.640355562124382,2.2374712948930568e-32
0.49166666666666664,9.42647513390483,4.640355562124382,2.494079054681345e-32
0.5,9.42647513390483,4.640355562124382,2.7799232293103546e-32
0.5083333333333333,9.42647513390483,4.640355562124382,3.098312609485906e-32
0.5166666666666667,9.42647513390483,4.640355562124382,3.4529279080712223e-32
0.525,9.42647513390483,4.640355562124382,3.847863276215685e-32
0.5333333333333333,9.42647513390483,4.640355562124382,4.2876724210507595e-32
0.5416666666666666,9.42647513390483,4.640355562124382,4.777419831311739e-32
0.55,9.42647513390483,4.640355562124382,5.322737672555043e-32
0.5583333333333333,9.42647513390483,4.640355562124382,5.92988897494788e-32
0.5666666666666667,9.42647513390483,4.640355562124382,6.605837804556512e-32
0.575,9.42647513390483,4.640355562124382,7.358327184364559e-32
0.5833333333333334,9.42647513390483,4.640355562124382,8.195965614702087e-32
0.5916666666666667,9.42647513390483,4.640355562124382,9.128323135238077e-32
0.6,9.42647513390483,4.640355562124382,1.0166037973146008e-31
0.6083333333333333,9.42647513390483,4.640355562124382,1.132093493557065e-31
0.6166666666666667,9.42647513390483,4.640355562124382,1.26061568302801e-31
0.625,9.42647513390483,4.640355562124382,1.4036310337701572e-31
