--- INTEGRATED RADIATION ANALYSIS (TID + DD) ---
Radiation Design Margin (RDM),2.0

[AVIONICS TID RESULTS]
Status,FAIL
Target Al Shielding [mm],1.65
Absolute Component Limit [krad],10.0
Effective Limit (RDM applied) [krad],5.0
True Received Dose [krad],5.7000
Safety Margin [krad],-1.4000
Min Required Al Shielding [mm],1.6376

Depth [mm],Dose [krad],Attenuation Rate (-dD/dx)
0.05,1110.0,10180.0
0.1,601.0,5719.999999999999
0.2,252.0,2380.0
0.3,125.0,916.5
0.4,68.7,418.5
0.5,41.3,207.50000000000006
0.6,27.2,86.33333333333331
0.8,15.4,41.5
1.0,10.6,13.857142857142858
1.5,5.7,6.89
2.0,3.71,3.08
2.5,2.62,1.78
3.0,1.93,0.9533333333333335
4.0,1.19,0.5445
5.0,0.841,0.25649999999999995
6.0,0.677,0.1235
7.0,0.594,0.065
8.0,0.547,0.03849999999999998
9.0,0.517,0.028000000000000025
10.0,0.491,0.020666666666666667
12.0,0.455,0.01675
14.0,0.424,0.013749999999999998
16.0,0.4,0.010749999999999996
18.0,0.381,0.010000000000000009
20.0,0.36,0.01050000000000001

[SOLAR PANEL EQFLUX RESULTS]
Status,FAIL
Target Coverglass [mm],0.02
Absolute Component Limit [e-/cm2],3.0000e+13
Effective Limit (RDM applied) [e-/cm2],1.5000e+13
True 1-MeV Fluence [e-/cm2],1.7809e+13
Safety Margin [e-/cm2],-5.6181e+12
Min Required Coverglass [mm],0.0295

Coverglass Depth [mm],1-MeV Fluence [e-/cm2]
0.0,871000000000000.0
0.01,19700000000000.0
0.0254,17200000000000.0
0.0762,6250000000000.0
0.1524,3510000000000.0
0.3048,2130000000000.0
0.508,1510000000000.0
0.762,1150000000000.0
1.524,859000000000.0
