--- MMOD SHIELDING SIMULATION RESULTS ---
Design Particle Diameter [cm],1.0
Design Impact Velocity [km/s],10.0
Optimized Monolithic Mass [kg/m2],406.27294829825985
Optimized Whipple Shield Mass [kg/m2],94.52665445670037

Velocity [km/s],Mono Critical Dia [cm],Whipple Critical Dia [cm],Time [Years],Poisson PNP
1.0,4.281332398719393,1.0755856343013224,0.0,1.0
1.1414141414141414,3.9382111796424337,0.9893843727095979,0.15151515151515152,0.9998729717051408
1.2828282828282829,3.6581539916867722,0.9190264887391696,0.30303030303030304,0.9997459595464693
1.4242424242424243,3.424353397687772,0.8602895029653811,0.45454545454545453,0.9996189635219357
1.5656565656565657,3.225616519336503,0.8103614638753885,0.6060606060606061,0.9994919836294907
1.7070707070707072,3.054174052312579,0.7672905136508117,0.7575757575757576,0.9993650198670847
1.8484848484848486,2.904448265642497,0.7296753765325222,0.9090909090909091,0.999238072232669
1.98989898989899,2.7723212828344965,0.6964815313981497,1.0606060606060606,0.9991111407241949
2.1313131313131315,2.6546804797279746,0.6669270034977015,1.2121212121212122,0.998984225339614
2.2727272727272725,2.5491251869600093,0.64040868023935,1.3636363636363635,0.9988573260768778
2.4141414141414144,2.4537712868647668,0.6164532206848145,1.5151515151515151,0.9987304429339386
2.5555555555555554,2.367117377794482,0.5946834324338647,1.6666666666666667,0.9986035759087488
2.6969696969696972,2.2879508711352314,0.5747946806737866,1.8181818181818181,0.9984767249992608
2.8383838383838382,2.21528069548366,0.556537981661964,1.9696969696969697,0.9983498902034276
2.97979797979798,2.1482881548929775,0.5397076569980255,2.121212121212121,0.9982230715192021
3.121212121212121,2.0862904375043567,0.5552529839700191,2.272727272727273,0.998096268944538
3.2626262626262625,2.028713107173431,0.5760705062372853,2.4242424242424243,0.9979694824773886
3.404040404040404,1.9750690830291466,0.5968880285045515,2.5757575757575757,0.997842712115708
3.5454545454545454,1.9249423773955399,0.6177055507718177,2.727272727272727,0.9977159578574502
3.686868686868687,1.8779753726248103,0.6385230730390838,2.878787878787879,0.9975892197005698
3.8282828282828283,1.833858763664473,0.65934059530635,3.0303030303030303,0.9974624976430213
