--- MMOD SHIELDING SIMULATION RESULTS ---
Design Particle Diameter [cm],1.0
Design Impact Velocity [km/s],4.5
Optimized Monolithic Mass [kg/m2],238.57572281626923
Optimized Whipple Shield Mass [kg/m2],10.544829505496363

Velocity [km/s],Mono Critical Dia [cm],Whipple Critical Dia [cm],Time [Years],Poisson PNP
1.0,2.5855638785721213,0.13466744544189274,0.0,1.0
1.1414141414141414,2.378347585279318,0.12387471697637498,0.15151515151515152,0.9998729717051408
1.2828282828282829,2.2092166508699203,0.11506564013597131,0.30303030303030304,0.9997459595464693
1.4242424242424243,2.0680208000611073,0.1077115443068177,0.45454545454545453,0.9996189635219357
1.5656565656565657,1.9480004778457796,0.10146036237787734,0.6060606060606061,0.9994919836294907
1.7070707070707072,1.844463679319475,0.0960677142664451,0.7575757575757576,0.9993650198670847
1.8484848484848486,1.7540419251429586,0.09135815487468452,0.9090909090909091,0.999238072232669
1.98989898989899,1.6742483650271243,0.08720215819149765,1.0606060606060606,0.9991111407241949
2.1313131313131315,1.6032032363542328,0.0835018179799255,1.2121212121212122,0.998984225339614
2.2727272727272725,1.5394567371908905,0.0801816222310075,1.3636363636363635,0.9988573260768778
2.4141414141414144,1.4818710192865816,0.0771823068443796,1.5151515151515151,0.9987304429339386
2.5555555555555554,1.4295393626050732,0.07445664588529594,1.6666666666666667,0.9986035759087488
2.6969696969696972,1.3817294658373933,0.07196649790716916,1.8181818181818181,0.9984767249992608
2.8383838383838382,1.3378428053972002,0.06968068919076628,1.9696969696969697,0.9983498902034276
2.97979797979798,1.2973849579437169,0.06757346801174548,2.121212121212121,0.9982230715192021
3.121212121212121,1.259943562671094,0.09139991834333074,2.272727272727273,0.998096268944538
3.2626262626262625,1.225171708569603,0.11953315370571074,2.4242424242424243,0.9979694824773886
3.404040404040404,1.19277523985108,0.14766638906809074,2.5757575757575757,0.997842712115708
3.5454545454545454,1.1625029350244709,0.17579962443047076,2.727272727272727,0.9977159578574502
3.686868686868687,1.1341388231754945,0.20393285979285075,2.878787878787879,0.9975892197005698
3.8282828282828283,1.107496110124983,0.23206609515523074,3.0303030303030303,0.9974624976430213
3.9696969696969697,1.0824123315050738,0.26019933051761074,3.1818181818181817,0.9973357916827597
4.111111111111111,1.0587454510024,0.2883325658799907,3.3333333333333335,0.9972091018177401
4.252525252525253,1.036370693985974,0.3164658012423707,3.484848484848485,0.9970824280459182
4.3939393939393945,1.015177958586806,0.34459903660475083,3.6363636363636362,0.9969557703652494
4.5353535353535355,0.9950696841056719,0.3727322719671307,3.787878787878788,0.9968291287736899
4.6767676767676765,0.9759590845083,0.40086550732951065,3.9393939393939394,0.9967025032691958
4.818181818181818,0.9577686755457416,0.4289987426918907,4.090909090909091,0.9965758938497237
4.95959595959596,0.9404290396739153,0.4571319780542708,4.242424242424242,0.9964493005132301
5.101010101010101,0.9238777848207069,0.48526521341665074,4.393939393939394,0.9963227232576722
5.242424242424242,0.908058662144119,0.5133984487790306,4.545454545454546,0.9961961620810074
5.383838383838384,0.8929208149475244,0.5415316841414107,4.696969696969697,0.9960696169811929
5.525252525252525,0.8784181363815239,0.5696649195037907,4.848484848484849,0.9959430879561868
5.666666666666667,0.8645087178428216,0.5977981548661708,5.0,0.9958165750039469
5.808080808080808,0.8511543733575422,0.6259313902285507,5.151515151515151,0.9956900781224316
5.94949494949495,0.8383202279173939,0.6540646255909308,5.303030303030303,0.9955635973095995
6.090909090909091,0.8259743598783837,0.6821978609533107,5.454545454545454,0.9954371325634094
6.232323232323233,0.8140874892518871,0.7103310963156908,5.606060606060606,0.9953106838818203
6.373737373737374,0.8026327051071436,0.7384643316780707,5.757575757575758,0.9951842512627916
6.515151515151516,0.7915852264321463,0.7665975670404508,5.909090909090909,0.995057834704283
6.656565656565657,0.7809221917201377,0.7947308024028307,6.0606060606060606,0.9949314342042542
6.797979797979798,0.7706224733032553,0.8228640377652106,6.212121212121212,0.9948050497606654
6.9393939393939394,0.7606665130760104,0.8509972731275907,6.363636363636363,0.9946786813714771
7.08080808080808,0.7510361767649294,0.8597586688701568,6.515151515151516,0.9945523290346496
7.222222222222222,0.7417146243272046,0.8541101616602411,6.666666666666667,0.9944259927481441
7.363636363636363,0.7326861944167533,0.8486072282765815,6.818181818181818,0.9942996725099216
7.505050505050505,0.7239363011536013,0.8432434275423571,6.96969696969697,0.9941733683179437
7.646464646464646,0.7154513416823632,0.8380127178564575,7.121212121212121,0.9940470801701717
7.787878787878788,0.7072186132161516,0.83290942555787,7.2727272727272725,0.993920808064568
7.929292929292929,0.6992262384402859,0.8279282163175008,7.424242424242424,0.9937945519990945
8.070707070707071,0.6914630983011871,0.8230640692194492,7.575757575757576,0.9936683119717137
8.212121212121211,0.683918771334348,0.8183122532366887,7.7272727272727275,0.9935420879803882
8.353535353535353,0.676583478794927,0.813668305842951,7.878787878787879,0.9934158800230812
8.494949494949495,0.6694480349483725,0.8091280135343086,8.030303030303031,0.9932896880977559
8.636363636363637,0.6625038019590292,0.8046873940613011,8.181818181818182,0.9931635122023756
8.777777777777779,0.655742648883997,0.8003426801961147,8.333333333333334,0.9930373523349042
