--- MMOD SHIELDING SIMULATION RESULTS ---
Design Particle Diameter [cm],2.0
Design Impact Velocity [km/s],10.0
Optimized Monolithic Mass [kg/m2],844.4458196122492
Optimized Whipple Shield Mass [kg/m2],77.01919120882427

Velocity [km/s],Mono Critical Dia [cm],Whipple Critical Dia [cm],Time [Years],Poisson PNP
1.0,8.562664797438785,0.8858731097824134,0.0,1.0
1.1414141414141414,7.876422359284865,0.8148760852423523,0.15151515151515152,0.9999598189890966
1.2828282828282829,7.316307983373543,0.7569279726208217,0.30303030303030304,0.9999196395927069
1.4242424242424243,6.848706795375543,0.7085510562812211,0.45454545454545453,0.9998794618107659
1.5656565656565657,6.4512330386730055,0.6674293586279045,0.6060606060606061,0.9998392856432088
1.7070707070707072,6.108348104625157,0.6319552918498423,0.7575757575757576,0.9997991110899708
1.8484848484848486,5.808896531284992,0.6009747381577912,0.9090909090909091,0.9997589381509869
1.98989898989899,5.544642565668991,0.5736356459674018,1.0606060606060606,0.9997187668261923
2.1313131313131315,5.309360959455947,0.5492939657660589,1.2121212121212122,0.9996785971155222
2.2727272727272725,5.098250373920017,0.5274529623704057,1.3636363636363635,0.9996384290189115
2.4141414141414144,4.9075425737295335,0.5077227830382613,1.5151515151515151,0.9995982625362957
2.5555555555555554,4.734234755588963,0.48979276482106865,1.6666666666666667,0.9995580976676097
2.6969696969696972,4.575901742270462,0.47341200460123206,1.8181818181818181,0.9995179344127888
2.8383838383838382,4.430561390967319,0.4583754345577222,1.9696969696969697,0.9994777727717681
2.97979797979798,4.296576309785953,0.44451365398608433,2.121212121212121,0.9994376127444826
3.121212121212121,4.172580875008712,0.4974654567323574,2.272727272727273,0.9993974543308677
3.2626262626262625,4.057426214346861,0.5614509365713365,2.4242424242424243,0.9993572975308584
3.404040404040404,3.950138166058293,0.6254364164103156,2.5757575757575757,0.99931714234439
3.5454545454545454,3.8498847547910793,0.6894218962492946,2.727272727272727,0.9992769887713975
3.686868686868687,3.7559507452496197,0.7534073760882738,2.878787878787879,0.9992368368118162
3.8282828282828283,3.667717527328945,0.8173928559272527,3.0303030303030303,0.9991966864655812
3.9696969696969697,3.5846470644579767,0.8813783357662319,3.1818181818181817,0.9991565377326277
4.111111111111111,3.5062689720716644,0.9453638156052108,3.3333333333333335,0.9991163906128909
4.252525252525253,3.4321700314716748,1.00934929544419,3.484848484848485,0.999076245106306
4.3939393939393945,3.36198561604578,1.0733347752831692,3.6363636363636362,0.9990361012128081
4.5353535353535355,3.295392632030267,1.1373202551221482,3.787878787878788,0.9989959589323324
4.6767676767676765,3.232103668339788,1.2013057349611271,3.9393939393939394,0.998955818264814
4.818181818181818,3.1718621188017693,1.2652912148001065,4.090909090909091,0.9989156792101884
4.95959595959596,3.1144380919151904,1.3292766946390857,4.242424242424242,0.9988755417683904
5.101010101010101,3.0596249625782845,1.3932621744780644,4.393939393939394,0.9988354059393556
5.242424242424242,3.007236450350155,1.4572476543170434,4.545454545454546,0.9987952717230189
5.383838383838384,2.957104132068052,1.5212331341560228,4.696969696969697,0.9987551391193155
5.525252525252525,2.9090753147354698,1.5852186139950015,4.848484848484849,0.9987150081281807
5.666666666666667,2.863011208773422,1.649204093833981,5.0,0.9986748787495497
5.808080808080808,2.8187853529109397,1.7131895736729599,5.151515151515151,0.9986347509833579
5.94949494949495,2.7762822508695164,1.777175053511939,5.303030303030303,0.9985946248295401
6.090909090909091,2.735396187087624,1.841160533350918,5.454545454545454,0.9985545002880317
6.232323232323233,2.696030194427864,1.9051460131898972,5.606060606060606,0.998514377358768
6.373737373737374,2.6580951514102376,1.9691314930288761,5.757575757575758,0.9984742560416843
6.515151515151516,2.6215089902502604,2.0331169728678553,5.909090909090909,0.9984341363367155
6.656565656565657,2.586196000028256,2.0971024527068343,6.0606060606060606,0.998394018243797
6.797979797979798,2.5520862118142924,2.161087932545813,6.212121212121212,0.9983539017628641
6.9393939393939394,2.519114854630261,2.225073412384792,6.363636363636363,0.998313786893852
7.08080808080808,2.4872218728316717,2.2438942613161283,6.515151515151516,0.9982736736366958
7.222222222222222,2.4563514969042104,2.229152155918123,6.666666666666667,0.9982335619913308
7.363636363636363,2.4264518608476235,2.214789985361325,6.818181818181818,0.9981934519576924
